# 数据册别：四年级上册
# 格式：汉字 | 拼音 | 组词1 | 拼音 | 释义 ; 组词2 | 拼音 | 释义 ; 组词3 | 拼音 | 释义
# 说明：每个字固定三个组词；第一个组词用于每日听写，请优先放课文/词语表里的词。

[第1课]
晓 | xiǎo | 知晓 | zhī xiǎo | 知道明白 ; 揭晓 | jiē xiǎo | 常用组词 ; 晓得 | xiǎo de | 常用组词
滚 | gǔn | 滚动 | gǔn dòng | 翻转移动 ; 翻滚 | fān gǔn | 常用组词 ; 滚开 | gǔn kāi | 常用组词
滑 | huá | 光滑 | guāng huá | 表面平滑 ; 滑冰 | huá bīng | 常用组词 ; 滑动 | huá dòng | 常用组词
擦 | cā | 擦拭 | cā shì | 摩擦清洁 ; 擦洗 | cā xǐ | 常用组词 ; 擦汗 | cā hàn | 常用组词
探 | tàn | 探索 | tàn suǒ | 寻找研究未知 ; 探望 | tàn wàng | 常用组词 ; 探险 | tàn xiǎn | 常用组词
曾 | céng | 曾经 | céng jīng | 过去有过 ; 未曾 | wèi céng | 常用组词 ; 何曾 | hé céng | 常用组词
沟 | gōu | 水沟 | shuǐ gōu | 排水沟渠 ; 山沟 | shān gōu | 常用组词 ; 沟通 | gōu tōng | 常用组词
涨 | zhǎng | 涨潮 | zhǎng cháo | 水位上升 ; 涨水 | zhǎng shuǐ | 常用组词 ; 上涨 | shàng zhǎng | 常用组词

[第5课]
蚊 | wén | 蚊子 | wén zi | 吸血昆虫 ; 蚊虫 | wén chóng | 常用组词 ; 蚊香 | wén xiāng | 常用组词
即 | jí | 立即 | lì jí | 马上 ; 即使 | jí shǐ | 常用组词 ; 即将 | jí jiāng | 常用组词
题 | tí | 问题 | wèn tí | 需解决事情 ; 题目 | tí mù | 常用组词 ; 主题 | zhǔ tí | 常用组词
绳 | shéng | 绳子 | shéng zi | 多股线长条 ; 绳索 | shéng suǒ | 常用组词 ; 跳绳 | tiào shéng | 常用组词
嘴 | zuǐ | 嘴巴 | zuǐ ba | 进食发声器官 ; 嘴角 | zuǐ jiǎo | 常用组词 ; 多嘴 | duō zuǐ | 常用组词
蝇 | yíng | 苍蝇 | cāng ying | 常见昆虫 ; 蝇子 | yíng zi | 常用组词 ; 蝇拍 | yíng pāi | 常用组词
研 | yán | 研究 | yán jiū | 深入探求 ; 研讨 | yán tǎo | 常用组词 ; 科研 | kē yán | 常用组词
究 | jiū | 研究 | yán jiū | 深入探求 ; 究竟 | jiū jìng | 常用组词 ; 追究 | zhuī jiū | 常用组词
驾 | jià | 驾驶 | jià shǐ | 操纵车船 ; 驾车 | jià chē | 常用组词 ; 驾照 | jià zhào | 常用组词
驶 | shǐ | 行驶 | xíng shǐ | 车船运行 ; 驾驶 | jià shǐ | 常用组词 ; 驶向 | shǐ xiàng | 常用组词

[第6课]
帽 | mào | 帽子 | mào zi | 头戴用品 ; 草帽 | cǎo mào | 常用组词 ; 帽檐 | mào yán | 常用组词
脑 | nǎo | 脑袋 | nǎo dai | 头部口语 ; 头脑 | tóu nǎo | 常用组词 ; 大脑 | dà nǎo | 常用组词
袋 | dài | 口袋 | kǒu dài | 装物小袋 ; 袋子 | dài zi | 常用组词 ; 书袋 | shū dài | 常用组词
假 | jiǎ | 假装 | jiǎ zhuāng | 故意不真实 ; 假如 | jiǎ rú | 常用组词 ; 真假 | zhēn jiǎ | 常用组词
扣 | kòu | 扣子 | kòu zi | 衣服扣合物 ; 扣住 | kòu zhù | 常用组词 ; 纽扣 | niǔ kòu | 常用组词
懂 | dǒng | 懂得 | dǒng de | 明白理解 ; 听懂 | tīng dǒng | 常用组词 ; 懂事 | dǒng shì | 常用组词
溜 | liū | 溜走 | liū zǒu | 悄悄离开 ; 溜冰 | liū bīng | 常用组词 ; 光溜 | guāng liū | 常用组词
筒 | tǒng | 竹筒 | zhú tǒng | 竹子中空一段 ; 笔筒 | bǐ tǒng | 常用组词 ; 话筒 | huà tǒng | 常用组词
摆 | bǎi | 摆动 | bǎi dòng | 来回摇动 ; 摆放 | bǎi fàng | 常用组词 ; 摇摆 | yáo bǎi | 常用组词
玻 | bō | 玻璃 | bō li | 透明材料 ; 玻璃杯 | bō li bēi | 常用组词 ; 玻璃窗 | bō li chuāng | 常用组词
璃 | lí | 玻璃 | bō li | 透明材料 ; 琉璃 | liú li | 常用组词 ; 玻璃瓶 | bō li píng | 常用组词

[语文园地一]
钢 | gāng | 钢铁 | gāng tiě | 坚硬金属材料 ; 钢笔 | gāng bǐ | 常用组词 ; 钢琴 | gāng qín | 常用组词
揍 | zòu | 挨揍 | ái zòu | 遭到打击 ; 揍人 | zòu rén | 常用组词 ; 揍一顿 | zòu yī dùn | 常用组词
锈 | xiù | 生锈 | shēng xiù | 金属有锈斑 ; 铁锈 | tiě xiù | 常用组词 ; 锈迹 | xiù jì | 常用组词
沫 | mò | 泡沫 | pào mò | 液体小气泡 ; 唾沫 | tuò mo | 常用组词 ; 白沫 | bái mò | 常用组词
综 | zōng | 综合 | zōng hé | 合在一起 ; 综艺 | zōng yì | 常用组词 ; 综述 | zōng shù | 常用组词
氧 | yǎng | 氧气 | yǎng qì | 呼吸气体 ; 氧化 | yǎng huà | 常用组词 ; 缺氧 | quē yǎng | 常用组词
账 | zhàng | 账本 | zhàng běn | 记录收支 ; 记账 | jì zhàng | 常用组词 ; 账单 | zhàng dān | 常用组词
矿 | kuàng | 矿石 | kuàng shí | 含矿物岩石 ; 煤矿 | méi kuàng | 常用组词 ; 矿工 | kuàng gōng | 常用组词
俱 | jù | 俱乐部 | jù lè bù | 共同活动团体 ; 俱全 | jù quán | 常用组词 ; 一应俱全 | yī yìng jù quán | 常用组词

[第8课]
残 | cán | 残缺 | cán quē | 不完整 ; 残疾 | cán jí | 常用组词 ; 残余 | cán yú | 常用组词
铺 | pū | 铺路 | pū lù | 铺材料修路 ; 铺开 | pū kāi | 常用组词 ; 铺设 | pū shè | 常用组词
壁 | bì | 墙壁 | qiáng bì | 建筑墙面 ; 石壁 | shí bì | 常用组词 ; 壁画 | bì huà | 常用组词
横 | héng | 横看 | héng kàn | 横向观察 ; 横线 | héng xiàn | 常用组词 ; 横跨 | héng kuà | 常用组词
侧 | cè | 侧面 | cè miàn | 旁边一面 ; 两侧 | liǎng cè | 常用组词 ; 侧身 | cè shēn | 常用组词
峰 | fēng | 山峰 | shān fēng | 山高处 ; 高峰 | gāo fēng | 常用组词 ; 峰顶 | fēng dǐng | 常用组词
庐 | lú | 庐山 | lú shān | 江西名山 ; 草庐 | cǎo lú | 常用组词 ; 庐舍 | lú shè | 常用组词
缘 | yuán | 缘分 | yuán fèn | 人事联系 ; 边缘 | biān yuán | 常用组词 ; 缘故 | yuán gù | 常用组词
降 | xiáng | 投降 | tóu xiáng | 停止抵抗 ; 降服 | xiáng fú | 常用组词 ; 降将 | xiáng jiàng | 常用组词
评 | píng | 评论 | píng lùn | 发表看法 ; 评比 | píng bǐ | 常用组词 ; 评分 | píng fēn | 常用组词
章 | zhāng | 文章 | wén zhāng | 成篇文字 ; 章节 | zhāng jié | 常用组词 ; 印章 | yìn zhāng | 常用组词
输 | shū | 输赢 | shū yíng | 失败胜利 ; 运输 | yùn shū | 常用组词 ; 输入 | shū rù | 常用组词

[第9课]
虎 | hǔ | 老虎 | lǎo hǔ | 大型猫科动物 ; 虎口 | hǔ kǒu | 常用组词 ; 虎牙 | hǔ yá | 常用组词
脚 | jiǎo | 脚印 | jiǎo yìn | 脚留下痕迹 ; 脚步 | jiǎo bù | 常用组词 ; 山脚 | shān jiǎo | 常用组词
操 | cāo | 操场 | cāo chǎng | 体育活动场地 ; 做操 | zuò cāo | 常用组词 ; 操作 | cāo zuò | 常用组词
嫩 | nèn | 嫩绿 | nèn lǜ | 新鲜浅绿 ; 鲜嫩 | xiān nèn | 常用组词 ; 嫩芽 | nèn yá | 常用组词
隙 | xì | 空隙 | kōng xì | 小缝 ; 缝隙 | fèng xì | 常用组词 ; 间隙 | jiàn xì | 常用组词
柄 | bǐng | 叶柄 | yè bǐng | 连接叶片和茎 ; 刀柄 | dāo bǐng | 常用组词 ; 手柄 | shǒu bǐng | 常用组词
触 | chù | 触角 | chù jiǎo | 昆虫感觉器官 ; 接触 | jiē chù | 常用组词 ; 触摸 | chù mō | 常用组词
痕 | hén | 痕迹 | hén jì | 留下印记 ; 伤痕 | shāng hén | 常用组词 ; 泪痕 | lèi hén | 常用组词
迹 | jì | 足迹 | zú jì | 脚留下痕迹 ; 痕迹 | hén jì | 常用组词 ; 事迹 | shì jì | 常用组词
瞧 | qiáo | 瞧见 | qiáo jiàn | 看见 ; 瞧瞧 | qiáo qiao | 常用组词 ; 瞧不起 | qiáo bu qǐ | 常用组词

[第10课]
宅 | zhái | 住宅 | zhù zhái | 居住房屋 ; 宅院 | zhái yuàn | 常用组词 ; 宅门 | zhái mén | 常用组词
毫 | háo | 毫米 | háo mǐ | 长度单位 ; 丝毫 | sī háo | 常用组词 ; 毫毛 | háo máo | 常用组词
重 | zhòng | 重要 | zhòng yào | 意义作用大 ; 重视 | zhòng shì | 常用组词 ; 重点 | zhòng diǎn | 常用组词
选 | xuǎn | 选择 | xuǎn zé | 挑选 ; 选手 | xuǎn shǒu | 常用组词 ; 选举 | xuǎn jǔ | 常用组词
择 | zé | 选择 | xuǎn zé | 挑选 ; 择优 | zé yōu | 常用组词 ; 抉择 | jué zé | 常用组词
址 | zhǐ | 地址 | dì zhǐ | 地点信息 ; 住址 | zhù zhǐ | 常用组词 ; 旧址 | jiù zhǐ | 常用组词
厅 | tīng | 客厅 | kè tīng | 会客房间 ; 餐厅 | cān tīng | 常用组词 ; 大厅 | dà tīng | 常用组词
专 | zhuān | 专门 | zhuān mén | 专一从事 ; 专心 | zhuān xīn | 常用组词 ; 专业 | zhuān yè | 常用组词
修 | xiū | 修理 | xiū lǐ | 恢复正常 ; 修改 | xiū gǎi | 常用组词 ; 修建 | xiū jiàn | 常用组词
较 | jiào | 比较 | bǐ jiào | 对照异同 ; 较量 | jiào liàng | 常用组词 ; 较好 | jiào hǎo | 常用组词
腿 | tuǐ | 大腿 | dà tuǐ | 下肢一部分 ; 小腿 | xiǎo tuǐ | 常用组词 ; 腿脚 | tuǐ jiǎo | 常用组词
增 | zēng | 增加 | zēng jiā | 变多 ; 增长 | zēng zhǎng | 常用组词 ; 增强 | zēng qiáng | 常用组词

[第11课]
醒 | xǐng | 苏醒 | sū xǐng | 从睡眠醒来 ; 醒来 | xǐng lái | 常用组词 ; 清醒 | qīng xǐng | 常用组词
翻 | fān | 翻身 | fān shēn | 转动身体 ; 翻开 | fān kāi | 常用组词 ; 翻译 | fān yì | 常用组词
缓 | huǎn | 缓慢 | huǎn màn | 速度不快 ; 缓和 | huǎn hé | 常用组词 ; 缓缓 | huǎn huǎn | 常用组词
踏 | tà | 踏步 | tà bù | 脚踩迈步 ; 踏实 | tā shi | 常用组词 ; 踏青 | tà qīng | 常用组词
丈 | zhàng | 一丈 | yī zhàng | 传统长度单位 ; 丈量 | zhàng liáng | 常用组词 ; 丈夫 | zhàng fu | 常用组词
撑 | chēng | 撑开 | chēng kāi | 支持展开 ; 支撑 | zhī chēng | 常用组词 ; 撑伞 | chēng sǎn | 常用组词
疲 | pí | 疲劳 | pí láo | 身体精神劳累 ; 疲倦 | pí juàn | 常用组词 ; 疲惫 | pí bèi | 常用组词
竭 | jié | 竭力 | jié lì | 用尽力量 ; 枯竭 | kū jié | 常用组词 ; 竭尽 | jié jìn | 常用组词
耀 | yào | 照耀 | zhào yào | 强光照射 ; 闪耀 | shǎn yào | 常用组词 ; 耀眼 | yào yǎn | 常用组词
肢 | zhī | 四肢 | sì zhī | 两臂两腿 ; 肢体 | zhī tǐ | 常用组词 ; 下肢 | xià zhī | 常用组词
整 | zhěng | 整齐 | zhěng qí | 有秩序 ; 整理 | zhěng lǐ | 常用组词 ; 完整 | wán zhěng | 常用组词

[第12课]
填 | tián | 填写 | tián xiě | 写入空白处 ; 填空 | tián kòng | 常用组词 ; 填满 | tián mǎn | 常用组词
帝 | dì | 皇帝 | huáng dì | 古代最高统治者 ; 帝王 | dì wáng | 常用组词 ; 上帝 | shàng dì | 常用组词
曰 | yuē | 子曰 | zǐ yuē | 古文表示说 ; 曰过 | yuē guò | 常用组词 ; 曰道 | yuē dào | 常用组词
娃 | wá | 娃娃 | wá wa | 小孩子称呼 ; 女娃 | nǚ wá | 常用组词 ; 娃儿 | wá ér | 常用组词
衔 | xián | 衔着 | xián zhe | 嘴含叼住 ; 头衔 | tóu xián | 常用组词 ; 衔接 | xián jiē | 常用组词

[第13课]
喷 | pēn | 喷泉 | pēn quán | 向上喷水设施 ; 喷水 | pēn shuǐ | 常用组词 ; 喷出 | pēn chū | 常用组词
颗 | kē | 一颗 | yī kē | 颗粒量词 ; 颗粒 | kē lì | 常用组词 ; 两颗 | liǎng kē | 常用组词
败 | bài | 失败 | shī bài | 未达到目标 ; 败北 | bài běi | 常用组词 ; 胜败 | shèng bài | 常用组词
敬 | jìng | 尊敬 | zūn jìng | 尊重敬重 ; 敬礼 | jìng lǐ | 常用组词 ; 敬爱 | jìng ài | 常用组词
佩 | pèi | 佩服 | pèi fú | 因敬重钦佩 ; 佩戴 | pèi dài | 常用组词 ; 敬佩 | jìng pèi | 常用组词
忍 | rěn | 忍受 | rěn shòu | 勉强承受 ; 忍耐 | rěn nài | 常用组词 ; 忍心 | rěn xīn | 常用组词
既 | jì | 既然 | jì rán | 表示已有前提 ; 既是 | jì shì | 常用组词 ; 既定 | jì dìng | 常用组词
遭 | zāo | 遭遇 | zāo yù | 碰上不好的事 ; 遭受 | zāo shòu | 常用组词 ; 遭到 | zāo dào | 常用组词
屈 | qū | 屈服 | qū fú | 停止抵抗 ; 委屈 | wěi qu | 常用组词 ; 屈辱 | qū rǔ | 常用组词
肝 | gān | 肝脏 | gān zàng | 人体器官 ; 心肝 | xīn gān | 常用组词 ; 肝胆 | gān dǎn | 常用组词
脏 | zàng | 肝脏 | gān zàng | 人体器官 ; 心脏 | xīn zàng | 常用组词 ; 内脏 | nèi zàng | 常用组词
获 | huò | 获得 | huò dé | 取得得到 ; 收获 | shōu huò | 常用组词 ; 获奖 | huò jiǎng | 常用组词

[语文园地二]
井 | jǐng | 水井 | shuǐ jǐng | 地下取水深洞 ; 井口 | jǐng kǒu | 常用组词 ; 油井 | yóu jǐng | 常用组词
玫 | méi | 玫瑰 | méi gui | 观赏花 ; 玫瑰花 | méi gui huā | 常用组词 ; 玫瑰色 | méi gui sè | 常用组词
瑰 | guī | 玫瑰 | méi gui | 观赏花 ; 瑰丽 | guī lì | 常用组词 ; 瑰宝 | guī bǎo | 常用组词
牡 | mǔ | 牡丹 | mǔ dān | 观赏花 ; 牡丹花 | mǔ dān huā | 常用组词 ; 牡鹿 | mǔ lù | 常用组词
丹 | dān | 牡丹 | mǔ dān | 观赏花 ; 丹心 | dān xīn | 常用组词 ; 丹青 | dān qīng | 常用组词
蕾 | lěi | 花蕾 | huā lěi | 未开放花苞 ; 蓓蕾 | bèi lěi | 常用组词 ; 花蕾期 | huā lěi qī | 常用组词
茉 | mò | 茉莉 | mò lì | 白色香花植物 ; 茉莉花 | mò lì huā | 常用组词 ; 茉莉茶 | mò lì chá | 常用组词
莉 | lì | 茉莉 | mò lì | 白色香花植物 ; 茉莉花 | mò lì huā | 常用组词 ; 茉莉茶 | mò lì chá | 常用组词
棠 | táng | 海棠 | hǎi táng | 观赏花木 ; 海棠花 | hǎi táng huā | 常用组词 ; 棠梨 | táng lí | 常用组词

[第15课]
嗅 | xiù | 嗅觉 | xiù jué | 鼻子感觉气味 ; 嗅到 | xiù dào | 常用组词 ; 嗅闻 | xiù wén | 常用组词
猛 | měng | 猛烈 | měng liè | 气势强 ; 猛然 | měng rán | 常用组词 ; 猛兽 | měng shòu | 常用组词
烈 | liè | 烈火 | liè huǒ | 旺火 ; 强烈 | qiáng liè | 常用组词 ; 热烈 | rè liè | 常用组词
奈 | nài | 无奈 | wú nài | 没有办法 ; 奈何 | nài hé | 常用组词 ; 怎奈 | zěn nài | 常用组词
驱 | qū | 驱赶 | qū gǎn | 赶走 ; 驱动 | qū dòng | 常用组词 ; 驱车 | qū chē | 常用组词
掩 | yǎn | 掩护 | yǎn hù | 遮挡保护 ; 掩盖 | yǎn gài | 常用组词 ; 掩面 | yǎn miàn | 常用组词
浑 | hún | 浑身 | hún shēn | 全身 ; 浑水 | hún shuǐ | 常用组词 ; 浑浊 | hún zhuó | 常用组词
栖 | qī | 栖息 | qī xī | 停留休息 ; 栖身 | qī shēn | 常用组词 ; 两栖 | liǎng qī | 常用组词
牲 | shēng | 牲畜 | shēng chù | 家养动物 ; 牲口 | shēng kou | 常用组词 ; 牺牲 | xī shēng | 常用组词
庞 | páng | 庞大 | páng dà | 非常巨大 ; 庞然 | páng rán | 常用组词 ; 面庞 | miàn páng | 常用组词
强 | qiáng | 强大 | qiáng dà | 力量大 ; 强壮 | qiáng zhuàng | 常用组词 ; 坚强 | jiān qiáng | 常用组词
量 | liàng | 力量 | lì liang | 使事物变化能力 ; 数量 | shù liàng | 常用组词 ; 重量 | zhòng liàng | 常用组词

[第16课]
哩 | li | 好哩 | hǎo li | 方言语气 ; 哩哩啦啦 | lī li lā lā | 常用组词 ; 哩语 | li yǔ | 常用组词
陡 | dǒu | 陡峭 | dǒu qiào | 坡度很大 ; 陡坡 | dǒu pō | 常用组词 ; 陡然 | dǒu rán | 常用组词
级 | jí | 年级 | nián jí | 学习阶段等级 ; 班级 | bān jí | 常用组词 ; 高级 | gāo jí | 常用组词
链 | liàn | 铁链 | tiě liàn | 铁环连接链条 ; 链条 | liàn tiáo | 常用组词 ; 项链 | xiàng liàn | 常用组词
颤 | chàn | 颤抖 | chàn dǒu | 快速轻微抖动 ; 颤动 | chàn dòng | 常用组词 ; 颤声 | chàn shēng | 常用组词
纪 | jì | 纪律 | jì lǜ | 共同遵守规则 ; 世纪 | shì jì | 常用组词 ; 纪念 | jì niàn | 常用组词
攀 | pān | 攀登 | pān dēng | 向高处爬 ; 攀爬 | pān pá | 常用组词 ; 攀比 | pān bǐ | 常用组词
猴 | hóu | 猴子 | hóu zi | 灵活动物 ; 猴群 | hóu qún | 常用组词 ; 猕猴 | mí hóu | 常用组词
呵 | hē | 呵护 | hē hù | 关心爱护 ; 呵气 | hē qì | 常用组词 ; 呵斥 | hē chì | 常用组词
啦 | la | 来啦 | lái la | 句末语气 ; 好啦 | hǎo la | 常用组词 ; 走啦 | zǒu la | 常用组词
鼓 | gǔ | 鼓励 | gǔ lì | 激发信心 ; 鼓掌 | gǔ zhǎng | 常用组词 ; 打鼓 | dǎ gǔ | 常用组词

[第17课]
峻 | jùn | 峻岭 | jùn lǐng | 高而陡山岭 ; 险峻 | xiǎn jùn | 常用组词 ; 严峻 | yán jùn | 常用组词
旋 | xuán | 旋转 | xuán zhuǎn | 绕中心转 ; 盘旋 | pán xuán | 常用组词 ; 回旋 | huí xuán | 常用组词
扩 | kuò | 扩大 | kuò dà | 范围变大 ; 扩展 | kuò zhǎn | 常用组词 ; 扩建 | kuò jiàn | 常用组词
砖 | zhuān | 砖块 | zhuān kuài | 建筑材料 ; 砖头 | zhuān tou | 常用组词 ; 红砖 | hóng zhuān | 常用组词
筑 | zhù | 建筑 | jiàn zhù | 修建房屋道路 ; 筑路 | zhù lù | 常用组词 ; 修筑 | xiū zhù | 常用组词
隔 | gé | 隔开 | gé kāi | 分开两部分 ; 间隔 | jiàn gé | 常用组词 ; 隔壁 | gé bì | 常用组词
仗 | zhàng | 打仗 | dǎ zhàng | 进行战争 ; 仗义 | zhàng yì | 常用组词 ; 胜仗 | shèng zhàng | 常用组词
扶 | fú | 扶手 | fú shǒu | 扶靠装置 ; 扶持 | fú chí | 常用组词 ; 搀扶 | chān fú | 常用组词
耗 | hào | 耗费 | hào fèi | 消耗时间物品 ; 消耗 | xiāo hào | 常用组词 ; 耗时 | hào shí | 常用组词
智 | zhì | 智慧 | zhì huì | 解决问题能力 ; 智力 | zhì lì | 常用组词 ; 智能 | zhì néng | 常用组词
慧 | huì | 智慧 | zhì huì | 解决问题能力 ; 聪慧 | cōng huì | 常用组词 ; 慧眼 | huì yǎn | 常用组词

[第18课]
绕 | rào | 环绕 | huán rào | 围着分布 ; 围绕 | wéi rào | 常用组词 ; 绕路 | rào lù | 常用组词
幅 | fú | 一幅 | yī fú | 图画量词 ; 幅度 | fú dù | 常用组词 ; 条幅 | tiáo fú | 常用组词
栽 | zāi | 栽树 | zāi shù | 种树苗 ; 栽花 | zāi huā | 常用组词 ; 栽种 | zāi zhòng | 常用组词
笋 | sǔn | 竹笋 | zhú sǔn | 竹子幼芽 ; 春笋 | chūn sǔn | 常用组词 ; 笋尖 | sǔn jiān | 常用组词
腰 | yāo | 山腰 | shān yāo | 山坡中间 ; 腰带 | yāo dài | 常用组词 ; 弯腰 | wān yāo | 常用组词
煌 | huáng | 辉煌 | huī huáng | 光彩灿烂 ; 煌煌 | huáng huáng | 常用组词 ; 灯火辉煌 | dēng huǒ huī huáng | 常用组词
镜 | jìng | 镜子 | jìng zi | 照影像物品 ; 眼镜 | yǎn jìng | 常用组词 ; 镜面 | jìng miàn | 常用组词
隐 | yǐn | 隐藏 | yǐn cáng | 藏起来 ; 隐约 | yǐn yuē | 常用组词 ; 隐形 | yǐn xíng | 常用组词
狮 | shī | 狮子 | shī zi | 大型猫科动物 ; 石狮 | shí shī | 常用组词 ; 狮群 | shī qún | 常用组词

[语文园地三]
萨 | sà | 菩萨 | pú sà | 佛教称呼 ; 拉萨 | lā sà | 常用组词 ; 萨满 | sà mǎn | 常用组词
昭 | zhāo | 昭示 | zhāo shì | 明白表示 ; 昭明 | zhāo míng | 常用组词 ; 昭告 | zhāo gào | 常用组词
陵 | líng | 陵墓 | líng mù | 大型坟墓 ; 山陵 | shān líng | 常用组词 ; 丘陵 | qiū líng | 常用组词
寝 | qǐn | 寝室 | qǐn shì | 睡觉房间 ; 就寝 | jiù qǐn | 常用组词 ; 寝具 | qǐn jù | 常用组词
垣 | yuán | 城垣 | chéng yuán | 古代城墙 ; 墙垣 | qiáng yuán | 常用组词 ; 断垣 | duàn yuán | 常用组词
尼 | ní | 尼龙 | ní lóng | 合成纤维 ; 尼姑 | ní gū | 常用组词 ; 僧尼 | sēng ní | 常用组词
绸 | chóu | 丝绸 | sī chóu | 蚕丝织物 ; 绸缎 | chóu duàn | 常用组词 ; 彩绸 | cǎi chóu | 常用组词
廊 | láng | 走廊 | zǒu láng | 通行长道 ; 长廊 | cháng láng | 常用组词 ; 画廊 | huà láng | 常用组词

[第20课]
鹅 | é | 白鹅 | bái é | 白色家禽 ; 天鹅 | tiān é | 常用组词 ; 鹅毛 | é máo | 常用组词
骑 | qí | 骑车 | qí chē | 跨坐车上 ; 骑马 | qí mǎ | 常用组词 ; 骑手 | qí shǒu | 常用组词
拳 | quán | 拳头 | quán tou | 握紧手势 ; 打拳 | dǎ quán | 常用组词 ; 拳击 | quán jī | 常用组词
竖 | shù | 竖起 | shù qǐ | 使直立 ; 竖线 | shù xiàn | 常用组词 ; 横竖 | héng shù | 常用组词
竟 | jìng | 竟然 | jìng rán | 出乎意料 ; 究竟 | jiū jìng | 常用组词 ; 毕竟 | bì jìng | 常用组词
胸 | xiōng | 胸口 | xiōng kǒu | 身体前部 ; 胸怀 | xiōng huái | 常用组词 ; 胸膛 | xiōng táng | 常用组词
鞋 | xié | 鞋子 | xié zi | 穿脚用品 ; 球鞋 | qiú xié | 常用组词 ; 鞋带 | xié dài | 常用组词
拖 | tuō | 拖地 | tuō dì | 清洁地面 ; 拖拉 | tuō lā | 常用组词 ; 拖鞋 | tuō xié | 常用组词
胳 | gē | 胳膊 | gē bo | 手臂部分 ; 胳臂 | gē bei | 常用组词 ; 胳肢 | gé zhi | 常用组词
膊 | bó | 胳膊 | gē bo | 手臂部分 ; 赤膊 | chì bó | 常用组词 ; 臂膊 | bì bó | 常用组词
握 | wò | 握手 | wò shǒu | 双方手相握 ; 握住 | wò zhù | 常用组词 ; 掌握 | zhǎng wò | 常用组词
